Lok_Sabha_Names
"A. Raja, Shri "
"Abbaiah, Shri Narayana Swamy"
"Adhikari,  Shri Deepak (Dev)"
"Adhikari,  Shri Sisir Kumar"
"Agrawal,  Shri Rajendra"
"Ahmed, Smt. Sajda"
"Ajmal,  Maulana Badruddin"
"Angadi, Smt. Mangal Suresh"
"Annpurna Devi, Smt."
"Antony,  Shri Anto "
"Azad, Smt.  Sangeeta"
"Baalu, Shri Thalikkottai Rajuthevar"
"Badal, Shri Sukhbir Singh"
"Baghel, Shri Vijay"
"Baij, Shri Deepak"
"Bandi, Shri Sanjay Kumar"
"Banerjee,  Shri Abhishek"
"Banerjee, Shri Prasun"
"Barla, Shri  John"
"Barq, Shri Shafiqur Rahman"
"Basavaraj, Shri Gangasandra Siddappa"
"Beesetti , Dr. Venkata Satyavathi"
"Beniwal, Shri Hanuman"
"Bhabhor, Shri Jaswantsinh Sumanbhai"
"Bhagirath Choudhary, Shri  "
"Bhargava, Shri Ramakant"
"Bhatt, Shri  Ajay"
"Bhavana Gawali (Patil),  Ms. "
"Bhoumik, Km. Pratima"
"Bind, Dr. Ramesh Chand "
"Bisen, Dr. Dhal Singh"
"Bista, Shri  Raju"
"Bordoloi, Shri Pradyut"
"Chahar, Shri  Rajkumar"
"Chandel, Kunwar Pushpendra Singh"
"Chatterjee, Smt.  Locket"
"Chaudhary, Shri Pankaj"
"Chaudhary, Shri Santokh Singh"
"Chauhan, Shri Devusinh Jesingbhai"
"Chavda, Shri Vinod"
"Chellakumar, Dr. A."
"Chikhalikar, Shri Prataprao  Patil"
"Chinta Anuradha, Smt. "
"Choudhary, Shri Chandra Prakash"
"Choudhury, Shri Abu Hasem Khan"
"Chudasama, Shri Rajeshbhai Naranbhai"
"Damor, Shri Guman Singh"
"Darbar, Shri Chhatar Singh"
"Dastidar, Dr. (Smt.) Kakoli Ghosh"
"Delkar, Smt. Kalaben Mohanbhai"
"Devi, Smt. Veena"
"Dhanorkar, Shri Balubhau Narayanrao (Alias Suresh)"
"Dharmapuri, Shri Arvind"
"Diler, Shri  Rajveer"
"DNV Senthilkumar S, Dr. "
"Dubey, Shri  Vijay Kumar"
"Dwivedi, Shri Harish"
"Gaddigoudar, Shri Parvatagouda Chandanagouda"
"Galla, Shri Jayadev"
"Gandhi, Shri Feroze Varun"
"Gandhi, Shri Rahul"
"Ganeshamurthi, Shri A."
"Gangwar, Shri Santosh Kumar"
"Gautam, Shri Satish Kumar"
"Gavit, Shri Rajendra Dhedya "
"Gill, Shri Jasbir Singh"
"Godse, Shri Hemant Tukaram"
"Gogoi, Shri Topon Kumar"
"Goswami, Shri Dulal Chandra"
"Gupta, Shri  Sangamlal Kadedin"
"Gurjar, Shri Krishan Pal"
"Hans, Shri Hans Raj"
"Haridas, Ms. Ramya "
"Hasan, Dr.  S.T."
"Hema Malini, Smt. "
"Irani, Smt.  Smriti Zubin"
"Jadhav, Shri Sanjay Haribhau"
"Jagathrakshakan, Shri S."
"Jaiswal, Dr. Sanjay"
"Jatua, Shri Choudhury Mohan"
"Jawed, Dr. Mohammad"
"Jigajinagi, Shri Ramesh Chandappa"
"Joshi,  Prof.  Rita Bahuguna"
"Joshi, Shri Pralhad Venkatesh"
"Jyoti, Sadhvi Niranjan"
"Kachhadiya, Shri Naranbhai Bhikhabhai"
"Kalanidhi, Dr. Veeraswamy"
"Kanumuru, Shri Raghu Ramakrishna Raju"
"Karadi, Shri Sanganna Amarappa"
"Karunanidhi, Smt. Kanimozhi"
"Kashyap, Shri Suresh Kumar"
"Katara, Shri Kanakmal"
"Kateel, Shri Nalin Kumar"
"Kathir Anand, Shri Durai Murugan "
"Kaushik, Shri Ramesh Chander"
"Khadse, Smt. Raksha Nikhil"
"Khan, Shri  Abu Taher"
"Kirtikar, Shri Gajanan Chandrakant"
"Kolhe, Dr. Amol Ramsing"
"Kora, Smt. Geeta"
"Kulaste, Shri Faggan Singh"
"Kumar, Shri Kaushalendra"
"Kumar, Shri Santosh"
"Kumar, Shri Vijay"
"Kumari, Km. Diya"
Kunwar Danish Ali
"Kushawaha, Shri Ravindra"
"Lal, Shri Pakauri"
"Lalwani, Shri Shankar"
"Lekhi, Smt. Meenakashi"
"Lokhande, Shri Sadashiv Kisan"
"Maadam, Smt. Poonamben Hematbhai"
"Madhavi, Smt. Goddeti"
"Mahant, Smt. Jyotsna Charandas"
"Mahato, Shri Bidyut Baran"
"Mahtab, Shri Bhartruhari"
"Majumdar, Dr. Sukanta"
"Mallah, Shri Kripanath"
"Maloth, Smt. Kavitha"
"Mandal, Smt. Manjulata"
"Mandavi, Shri Mohan"
"Mane, Shri Dhairyasheel  S."
"Manne, Shri Srinivas Reddy"
"Margani, Shri Bharat Ram"
"Maurya, Dr.  Sanghamitra"
"Meena, Smt. Jaskaur"
"Mendhe, Shri Sunil Baburao"
"Misra, Shri Ajay (Teni)"
"Modi, Shri Narendra Damodardas"
"Mohan, Shri P. C."
"Moitra, Smt. Mahua"
"Mondal, Shri Sunil Kumar"
"Munde, Dr. Pritam Gopinath Rao"
"Munjpara, Dr. Mahendrabhai Kalubhai"
"Murmu, Ms. Chandrani"
"Nagar, Shri   Malook"
"Naik, Shri Raja Amareshwara"
"Naik Nimbalkar, Shri Ranjeetsingh"
"Namgyal, Shri Jamyang Tsering"
"Nath, Shri Balak"
"Nete, Shri Ashok Mahadeorao"
"Nishad, Shri Praveen Kumar"
"Oja, Smt. Queen"
"Owaisi, Shri Asaduddin"
"Pachauri, Shri Satyadev"
"Pala, Shri Vincent H."
"Panda, Shri Basanta Kumar"
"Pandey, Shri  Ritesh"
"Paras, Shri Pashupati Kumar"
"Parthiban, Shri S.R."
"Paswan, Shri Chhedi"
"Paswan, Shri Kamlesh "
"Patel, Shri Devji Mansingram"
"Patel, Shri Hasmukhbhai Somabhai"
"Patel, Smt.  Keshari Devi"
"Patel, Shri Mitesh Rameshbhai"
"Patel, Shri Prahlad Singh"
"Patel, Smt. Sharda Anilkumar"
"Pathak, Shri  Subrat"
"Patil, Shri C. R."
